x/L, Cf
0.20052424639580602, 0.0016228041843617622
0.20576671035386634, 0.001451660691930503
0.2123197903014417, 0.0010361019984891882
0.20838794233289643, 0.0008895105343095788
0.20576671035386634, 0.0004496240320527034
0.20838794233289643, 0.0002296327339022467
0.2123197903014417, 0.0019159390656989638
0.2123197903014417, 0.002306977762236642
0.2123197903014417, 0.005655246601340512
0.23328964613368286, 0.006070468965627694
0.23328964613368286, 0.006657027010434212
0.2149410222804718, 0.0072682491932104226
0.2149410222804718, 0.007977006830684964
0.21887287024901708, 0.00900343536207435
0.2162516382699869, 0.009834424623564928
0.21887287024901708, 0.011178588111565186
0.887287024901704, 0.009655145168738475
0.8885976408912188, 0.00952070960112964
0.8925294888597641, 0.008677484364698253
0.8846657929226738, 0.008628700621675079
0.8820445609436436, 0.00805439456748338
0.8794233289646134, 0.005915933727140963
0.8846657929226738, 0.005695910397642495
0.8938401048492792, 0.005524718858189217
0.9017038007863698, 0.005353543334409944
0.9030144167758849, 0.004889168866597444
0.9121887287024901, 0.004669097490076959
0.9017038007863698, 0.0034961095258559723
0.9095674967234602, 0.0035204533503455405
0.9121887287024901, 0.003300462052195084
0.9108781127129753, 0.002860559534264201
