x/c, Cp
3.306316671190671630e-01,3.730934858322143555e-02
3.313960716213474322e-01,3.480603918433189392e-02
3.317021152933501416e-01,3.433051705360412598e-02
3.321148856101107105e-01,3.330832719802856445e-02
3.327899241643494377e-01,3.156496211886405945e-02
3.330341910889962898e-01,3.113956563174724579e-02
3.335175145938881203e-01,3.068950772285461426e-02
3.341770715920145407e-01,3.019571676850318909e-02
3.343768584044103931e-01,2.988733351230621338e-02
3.352446583476505482e-01,2.814847417175769806e-02
3.352671439732868297e-01,2.810335159301757812e-02
3.361167717727316928e-01,2.631422691047191620e-02
3.363023155535041497e-01,2.592743746936321259e-02
3.369558721140201718e-01,2.483680658042430878e-02
3.373613821148108149e-01,2.425585500895977020e-02
3.377889933715687021e-01,2.362092211842536926e-02
3.382687721339575071e-01,2.272872254252433777e-02
3.387775280986145554e-01,2.183466032147407532e-02
3.393962778502159217e-01,2.130763977766036987e-02
3.395858788663833616e-01,2.104851789772510529e-02
3.404704629518363612e-01,2.031183987855911255e-02
3.405154982647203843e-01,2.027391828596591949e-02
3.414180836630046900e-01,1.837131939828395844e-02
3.418607707523353967e-01,1.787002384662628174e-02
3.421357445427609667e-01,1.760543510317802429e-02
3.428789019438939767e-01,1.681078411638736725e-02
3.432200300251277980e-01,1.640988513827323914e-02
3.437018160513436449e-01,1.592238806188106537e-02
3.443029915675236419e-01,1.531154848635196686e-02
3.446321828351481265e-01,1.520239934325218201e-02
3.452978043324964608e-01,1.488573383539915085e-02
3.456137134926700605e-01,1.417516823858022690e-02
3.462763454481484482e-01,1.357850525528192520e-02
3.469953943294872278e-01,1.313469279557466507e-02
3.476125852485421053e-01,1.181660499423742294e-02
3.482649032845690495e-01,1.136842463165521622e-02
3.490350306241433165e-01,1.077000796794891357e-02
3.497576028941145054e-01,9.973401203751564026e-03
3.501234801112576012e-01,9.674877859652042389e-03
3.504607004341899756e-01,9.380734525620937347e-03
3.511484658952465643e-01,8.603868074715137482e-03
3.518323449518722112e-01,8.124518208205699921e-03
3.525280540527547246e-01,7.681179791688919067e-03
3.533397146704509995e-01,7.273117545992136002e-03
3.534708060814490960e-01,7.083266042172908783e-03
3.543151381210100093e-01,6.284787319600582123e-03
3.548404006275633904e-01,5.916682537645101547e-03
3.553275891830156574e-01,5.205494351685047150e-03
3.561358331814319378e-01,4.899648018181324005e-03
3.561974390978238092e-01,4.852449987083673477e-03
3.570867850963982404e-01,3.842312144115567207e-03
3.574873409992329054e-01,3.744312096387147903e-03
3.578780954755081956e-01,3.688530763611197472e-03
3.586793781121416225e-01,3.155969781801104546e-03
3.588487570129458293e-01,2.949571935459971428e-03
3.595962278959197733e-01,2.343361964449286461e-03
3.598251413876773497e-01,2.301209839060902596e-03
3.606089138505009228e-01,2.119080629199743271e-03
3.607241393357176751e-01,2.120052697136998177e-03
3.614975765252193551e-01,1.945364754647016525e-03
3.616850208004663281e-01,1.922235591337084770e-03
3.621777827161190566e-01,1.653450308367609978e-03
3.628145978421631890e-01,1.062478986568748951e-03
3.632263858808807422e-01,5.916542140766978264e-04
3.633804327026661229e-01,3.723306290339678526e-04
3.639089409975354017e-01,1.824383653001859784e-04
3.645131274094559060e-01,2.123771555488929152e-04
3.651530174928520611e-01,-3.454976540524512529e-04
3.657800525462073238e-01,-6.304380367510020733e-04
3.664112302504395347e-01,-1.007875078357756138e-03
3.668571417742157448e-01,-9.788518073037266731e-04
3.671883403056671602e-01,-9.630406857468187809e-04
3.677553282751770958e-01,-1.421260996721684933e-03
3.680635500419707773e-01,-1.672571175731718540e-03
3.688515078634123090e-01,-2.280668355524539948e-03
3.696339990940059050e-01,-2.450882224366068840e-03
3.704066248364285552e-01,-2.747146645560860634e-03
3.711389771790887249e-01,-2.982720499858260155e-03
3.716368213159203515e-01,-3.151463810354471207e-03
3.718453205074800927e-01,-3.235989948734641075e-03
3.725787405436652433e-01,-3.505757777020335197e-03
3.733329165419760898e-01,-3.715980798006057739e-03
3.740961892891199181e-01,-3.940324299037456512e-03
3.745166042915193949e-01,-3.961090929806232452e-03
3.749655053571655516e-01,-4.069211892783641815e-03
3.754899564166399029e-01,-4.725491628050804138e-03
3.757505590522191019e-01,-5.087055731564760208e-03
3.764497701878636304e-01,-4.404549952596426010e-03
3.770428098793832117e-01,-5.349242128431797028e-03
3.775429175264878312e-01,-5.869099404662847519e-03
3.781670057457141576e-01,-5.135002546012401581e-03
3.783703800083539348e-01,-5.187396425753831863e-03
3.792195380226478507e-01,-5.616103764623403549e-03
3.796932949935557522e-01,-5.987152457237243652e-03
3.799357041314691541e-01,-6.160103250294923782e-03
3.806919301013479973e-01,-6.285062525421380997e-03
3.809601774225661042e-01,-6.006829440593719482e-03
3.815216560934870937e-01,-5.546889733523130417e-03
3.819683790643422783e-01,-6.235872860997915268e-03
3.826240283041672519e-01,-6.461799144744873047e-03
3.829610777961355850e-01,-6.425623781979084015e-03
3.834717342552670938e-01,-6.699434481561183929e-03
3.836391913077263349e-01,-6.893478333950042725e-03
3.843606531764315326e-01,-6.765252910554409027e-03
3.852823289349426306e-01,-7.095094770193099976e-03
3.853287522494091566e-01,-7.109222002327442169e-03
3.862500009305102622e-01,-7.747156079858541489e-03
3.863791064315518775e-01,-7.867467589676380157e-03
3.871008245467030817e-01,-7.803814020007848740e-03
3.878391986808441549e-01,-7.950840517878532410e-03
3.882102435346481695e-01,-8.002563379704952240e-03
3.885404170803156143e-01,-8.071879856288433075e-03
3.892204524402513299e-01,-8.239156566560268402e-03
3.898914337590950741e-01,-8.373992517590522766e-03
3.901862880029559055e-01,-8.436542004346847534e-03
3.905911573876315601e-01,-8.547005243599414825e-03
3.913145838124227893e-01,-8.733694441616535187e-03
3.920270770555181472e-01,-8.965434506535530090e-03
3.921976517730703105e-01,-8.947310969233512878e-03
3.926129418465498233e-01,-8.851715363562107086e-03
3.932144376707873978e-01,-8.834436535835266113e-03
3.935414935513618651e-01,-8.934652432799339294e-03
3.943182192369205086e-01,-9.643215686082839966e-03
3.950385279966187602e-01,-9.364599362015724182e-03
3.954855072139199512e-01,-9.237659163773059845e-03
3.956289625159374324e-01,-9.202693589031696320e-03
3.961697706402145802e-01,-9.346187114715576172e-03
3.968653516178741181e-01,-9.461987763643264771e-03
3.975219404280010416e-01,-9.735591709613800049e-03
3.981728491085750887e-01,-9.855281561613082886e-03
3.988217078175810837e-01,-9.983449243009090424e-03
3.994740685613490938e-01,-1.005459390580654144e-02
4.001047764804303020e-01,-1.017970405519008636e-02
4.007326656886055494e-01,-1.032331679016351700e-02
4.013840014465895334e-01,-1.045528613030910492e-02
4.019236564618597352e-01,-1.047495473176240921e-02
4.020325612014085670e-01,-1.048105116933584213e-02
4.026616035185908160e-01,-1.069391611963510513e-02
4.033290400949316457e-01,-1.059682946652173996e-02
4.040105275180613242e-01,-1.069408282637596130e-02
4.046103150326588738e-01,-1.101974397897720337e-02
4.047172979238627399e-01,-1.107346173375844955e-02
4.054485825729978732e-01,-1.106942351907491684e-02
4.061623570483231527e-01,-1.111473701894283295e-02
4.068443142566038340e-01,-1.115515176206827164e-02
4.075129466496926756e-01,-1.122363749891519547e-02
4.076059214018486476e-01,-1.122565101832151413e-02
4.082144640033510963e-01,-1.126570720225572586e-02
4.089033398656737317e-01,-1.137940492480993271e-02
4.095537360533557103e-01,-1.143223326653242111e-02
4.102166456091506097e-01,-1.144323963671922684e-02
4.103222191449014677e-01,-1.145924068987369537e-02
4.108939903814032846e-01,-1.154028344899415970e-02
4.115774423606189392e-01,-1.169275585561990738e-02
4.122497476194337263e-01,-1.186074595898389816e-02
4.128899366570168428e-01,-1.212823204696178436e-02
4.135185091890480891e-01,-1.219473499804735184e-02
4.141896613388558746e-01,-1.211663614958524704e-02
4.148983108852612456e-01,-1.221757754683494568e-02
4.156385641600063297e-01,-1.213459391146898270e-02
4.163865902436132416e-01,-1.230034511536359787e-02
4.172135402325873876e-01,-1.209014561027288437e-02
4.173268865772001290e-01,-1.216772198677062988e-02
4.179894117633260464e-01,-1.284088473767042160e-02
4.186129447819193494e-01,-1.244312431663274765e-02
4.189014782801122050e-01,-1.262447144836187363e-02
4.192854635794390772e-01,-1.268473453819751740e-02
4.197754067841858450e-01,-1.236881874501705170e-02
4.204483953668565754e-01,-1.250327564775943756e-02
4.211250995229943173e-01,-1.276905741542577744e-02
4.218118827060079457e-01,-1.294547319412231445e-02
4.224926868052816253e-01,-1.304569654166698456e-02
4.231448767180855941e-01,-1.316380035132169724e-02
4.237084907760565455e-01,-1.339691225439310074e-02
4.241957861008612829e-01,-1.313965022563934326e-02
4.243019148372451643e-01,-1.308324467390775681e-02
4.249431288606122514e-01,-1.305306423455476761e-02
4.256147935033120500e-01,-1.325930096209049225e-02
4.262901737194788043e-01,-1.325796823948621750e-02
